Metal,AdditiveName,Category,PrimaryFunction,SecondaryFunction,TypicalConcentration_g_L,ModeOfAction,SourceType,SourceURL,Verified,Notes
Co,Saccharin,Brightener,"Stress reducer, Brightener",Grain refinement,0.5-3,Adsorption; modifies growth directions; reduces roughness,LD,DOI:10.1007/s10800-008-9488-4,Yes,Ni-Co plating with saccharin study (Hassani et al.)
Fe,SDS,Surfactant,"Wetting, Dispersant",May reduce hydrogen evolution and improve deposit quality,0.05-1.0,"Anionic surfactant adsorbs, modifies double layer, suppresses some bubbles",LD,(Fe plating + surfactant literature),No,Needs DOI
Sn,Saccharin,Brightener,Brightening agent,Reduces internal stress,0.1-2,Organic adsorption modifies nucleation / growth,LD,(Sn plating lit),No,Specific DOI for Sn+saccharin needed
Pb,PEG (Polyethylene Glycol),Suppressor,"Leveling, Suppressor",Improves ductility and finish,0.1-2,"Adsorption suppresses high growth points, helps smoother deposit",LD,(surface finishing handbooks),No,Primary DOI elusive
Cd,SDS,Surfactant,Wetting Agent,May affect hydrogen evolution & brightness,0.01-1.0,Anionic surfactant reduces surface tension and helps distribution,LD,(Cd plating studies),No,Needs DOI
Cr,Chromic Acid (H2CrO4),Bath constituent,Oxidizer / bath component (Cr(VI) baths),Not typically an additive,--,Cr(VI) bath component; trivalent Cr baths use other organics,LD,(Cr plating literature & reviews),No,Trivalent Cr additive DOIs exist; Cr(VI) is bath constituent
Cr,PEG (for trivalent Cr baths),Surfactant,Suppressor / leveling in trivalent Cr baths,Reduces hydrogen evolution; improves finish,0.01-1.0,Polymer adsorption modifies deposition kinetics in Cr(III) baths,LD,(trivalent Cr bath studies),No,Find specific DOI if needed
Mn,Saccharin,Brightener,"Brightening, Grain Refinement",Improves deposit reflectivity & reduces roughness,0.1-2,Organic adsorption; inhibits certain facets; growth modification,LD,(Mn plating research),No,Primary DOI hard to find
Sb,Saccharin,Brightener,Brightener / Stress Control,Grain refinement in Sb or Sb-alloy baths,0.1-2,Adsorption & surface growth modification,LD,(Sb plating literature),No,Primary DOI needed
Bi,Saccharin,Brightener,"Brightening, ductility improvement",Grain refinement,0.1-2,Adsorption; modifies texture & internal stress,LD,(Bi plating literature),No,Primary DOI needed
Any,CTAB,Surfactant,"Cationic surfactant, Leveling / Wetting",Shifts apparent deposition potential,0.01-1.0,Cationic adsorption modifies interfacial potential and double layer,LD,(various primary studies),No,Add metal-specific DOIs if required
Any,SDS,Surfactant,"Anionic surfactant, Wetting agent",Shifts apparent deposition potential,0.01-1.0,Anionic adsorption modifies double layer & can suppress hydrogen evolution,LD,(various primary studies),No,Add metal-specific DOIs if required
Any,PEG (Polyethylene Glycol),Suppressor/Leveler,"Suppressor, Leveler","Grain refiner, suppressor of dendrites / roughness",0.1-2,"Polymer adsorption modifies surface growth, suppresses high current density protrusions",LD,DOI:10.1149/2.0081802jes,Yes,PEG + Cl copper study; PEG used broadly
Any,Saccharin,Brightener,"Brightener, stress reducer","Grain refiner, leveling",0.5-5,Adsorption-based brightening,LD,https://assets.fishersci.com/TFS-Assets/CMD/Application-Notes/au-133-ic-saccharin-electrolytic-nickel-sulfate-au72538-en.pdf,Yes,Application note and vendor literature
